admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Ainabkoi,Uasin Gishu,KE027144,-99999.0,162539.02007348472,162539.02007348472,0,47444
Ainamoi,Kericho,KE035190,-99999.0,201742.11490805505,201742.11490805505,0,26936
Aldai,Nandi,KE029152,-99999.0,199199.8083418282,199199.8083418282,0,44610
Alego Usonga,Siaya,KE041234,-99999.0,263168.0974953428,263168.0974953428,0,60423
Awendo,Migori,KE044254,-99999.0,129381.51984788594,129381.51984788594,0,26567
Bahati,Nakuru,KE032174,-99999.0,277509.5459942481,277509.5459942481,0,21167
Balambala,Garissa,KE007028,-99999.0,60757.51089223847,60757.51089223847,0,15480
Banissa,Mandera,KE009040,-99999.0,170627.6528354152,170627.6528354152,0,7328
Baringo Central,Baringo,KE030159,-99999.0,100120.69427315114,100120.69427315114,0,50307
Baringo North,Baringo,KE030158,-99999.0,112213.0052927139,112213.0052927139,0,82598
Baringo South,Baringo,KE030160,-99999.0,115588.6849618186,115588.6849618186,0,68943
Belgut,Kericho,KE035192,-99999.0,152953.25916146452,152953.25916146452,0,27672
Bobasi,Kisii,KE045264,-99999.0,214222.26563342148,214222.26563342148,0,28075
Bomachoge Borabu,Kisii,KE045263,-99999.0,121433.77448258246,121433.77448258246,0,13342
Bomachoge Chache,Kisii,KE045265,-99999.0,108985.86665565101,108985.86665565101,0,11928
Bomet Central,Bomet,KE036197,-99999.0,173216.72472081543,173216.72472081543,0,30753
Bomet East,Bomet,KE036196,-99999.0,179418.65415552305,179418.65415552305,0,35689
Bonchari,Kisii,KE045261,-99999.0,155553.5150085939,155553.5150085939,0,14759
Bondo,Siaya,KE041236,-99999.0,237386.6071935297,237386.6071935297,0,59914
Borabu,Nyamira,KE046273,-99999.0,116926.13523691182,116926.13523691182,0,30639
Budalangi,Busia,KE040231,-99999.0,106505.7739924958,106505.7739924958,0,12718
Bumula,Bungoma,KE039219,-99999.0,254464.1873002989,254464.1873002989,0,38804
Bura,Tana River,KE004020,-99999.0,408120.4587297048,408120.4587297048,0,46967
